resume_id,name,job_id,job_title,tfidf_score,word2vec_score,semantic_score
R005,孙同学,J002,大数据开发实习生,1.2,74.3,30.4
R005,孙同学,J003,Python开发工程师,2.2,81.4,33.9
R005,孙同学,J004,机器学习实习生,29.3,91.4,54.1
R005,孙同学,J005,Java后端工程师,1.0,79.6,32.4
R005,孙同学,J006,数据工程师,1.5,74.4,30.7
R005,孙同学,J007,自然语言处理实习生,0.6,77.0,31.2
R005,孙同学,J008,前端开发工程师,0.0,77.7,31.1
R005,孙同学,J009,数据分析师,1.6,83.0,34.2
R005,孙同学,J010,大数据运维工程师,0.6,78.9,31.9
R005,孙同学,J011,AI算法实习生,16.8,86.0,44.5
R005,孙同学,J012,数据分析岗,4.2,78.8,34.0
R006,周同学,J001,数据分析实习生,5.4,81.9,36.0
R006,周同学,J002,大数据开发实习生,17.2,81.9,43.1
R006,周同学,J003,Python开发工程师,2.2,79.5,33.1
R006,周同学,J004,机器学习实习生,5.2,85.6,37.4
R006,周同学,J005,Java后端工程师,1.0,73.1,29.8
R006,周同学,J006,数据工程师,12.2,73.6,36.8
R006,周同学,J007,自然语言处理实习生,0.6,68.8,27.9
R006,周同学,J008,前端开发工程师,0.0,78.8,31.5
R006,周同学,J009,数据分析师,4.4,77.3,33.6
R006,周同学,J010,大数据运维工程师,8.6,83.6,38.6
R006,周同学,J011,AI算法实习生,4.0,80.1,34.4
R006,周同学,J012,数据分析岗,4.1,74.9,32.4
R007,吴同学,J001,数据分析实习生,1.9,82.7,34.2
R007,吴同学,J002,大数据开发实习生,1.2,72.1,29.6
R007,吴同学,J003,Python开发工程师,2.2,81.6,34.0
R007,吴同学,J004,机器学习实习生,21.8,88.6,48.5
R007,吴同学,J005,Java后端工程师,1.0,80.4,32.8
R007,吴同学,J006,数据工程师,1.5,69.4,28.7
R007,吴同学,J007,自然语言处理实习生,17.5,81.0,42.9
R007,吴同学,J008,前端开发工程师,0.0,80.6,32.2
R007,吴同学,J009,数据分析师,1.6,84.3,34.7
R007,吴同学,J010,大数据运维工程师,0.6,73.8,29.9
R007,吴同学,J011,AI算法实习生,13.1,88.8,43.4
R007,吴同学,J012,数据分析岗,4.2,83.2,35.8
R008,郑同学,J001,数据分析实习生,10.3,88.3,41.5
R008,郑同学,J002,大数据开发实习生,1.2,71.4,29.3
R008,郑同学,J003,Python开发工程师,2.2,77.8,32.4
R008,郑同学,J004,机器学习实习生,0.5,80.2,32.4
R008,郑同学,J005,Java后端工程师,1.0,73.5,30.0
R008,郑同学,J006,数据工程师,5.1,76.8,33.8
R008,郑同学,J007,自然语言处理实习生,0.6,69.1,28.0
R008,郑同学,J008,前端开发工程师,0.0,68.7,27.5
R008,郑同学,J009,数据分析师,7.1,89.3,40.0
R008,郑同学,J010,大数据运维工程师,0.6,71.5,29.0
R008,郑同学,J011,AI算法实习生,0.5,81.9,33.1
R008,郑同学,J012,数据分析岗,20.4,86.8,47.0
R009,钱同学,J001,数据分析实习生,1.7,73.0,30.2
R009,钱同学,J002,大数据开发实习生,1.1,63.4,26.0
R009,钱同学,J003,Python开发工程师,2.0,70.6,29.4
R009,钱同学,J004,机器学习实习生,0.5,61.9,25.1
R009,钱同学,J005,Java后端工程师,0.9,57.3,23.5
R009,钱同学,J006,数据工程师,1.3,70.7,29.1
R009,钱同学,J007,自然语言处理实习生,0.5,55.9,22.7
R009,钱同学,J008,前端开发工程师,0.0,67.1,26.8
R009,钱同学,J009,数据分析师,1.4,71.6,29.5
R009,钱同学,J010,大数据运维工程师,0.5,66.2,26.8
R009,钱同学,J011,AI算法实习生,0.5,70.4,28.5
R009,钱同学,J012,数据分析岗,3.8,68.2,29.6
R010,刘同学,J001,数据分析实习生,0.9,74.7,30.4
R010,刘同学,J002,大数据开发实习生,0.0,69.8,27.9
R010,刘同学,J003,Python开发工程师,5.7,72.7,32.5
R010,刘同学,J004,机器学习实习生,0.6,78.5,31.8
R010,刘同学,J005,Java后端工程师,4.0,69.2,30.1
R010,刘同学,J006,数据工程师,0.7,68.7,27.9
R010,刘同学,J007,自然语言处理实习生,0.7,68.8,27.9
R010,刘同学,J008,前端开发工程师,0.0,67.3,26.9
R010,刘同学,J009,数据分析师,0.7,73.6,29.9
R010,刘同学,J010,大数据运维工程师,4.6,71.9,31.5
R010,刘同学,J011,AI算法实习生,0.6,76.4,30.9
R010,刘同学,J012,数据分析岗,1.9,65.6,27.4
R011,陈同学,J001,数据分析实习生,13.6,84.0,41.8
R011,陈同学,J002,大数据开发实习生,1.4,61.7,25.5
R011,陈同学,J003,Python开发工程师,2.6,74.2,31.2
R011,陈同学,J004,机器学习实习生,0.6,73.8,29.9
R011,陈同学,J005,Java后端工程师,1.1,63.0,25.9
R011,陈同学,J006,数据工程师,1.7,70.6,29.3
R011,陈同学,J007,自然语言处理实习生,0.7,67.4,27.4
R011,陈同学,J008,前端开发工程师,0.0,67.7,27.1
R011,陈同学,J009,数据分析师,8.3,79.1,36.6
R011,陈同学,J010,大数据运维工程师,0.7,61.3,24.9
R011,陈同学,J011,AI算法实习生,0.6,77.7,31.4
R011,陈同学,J012,数据分析岗,12.0,82.7,40.3
R012,黄同学,J001,数据分析实习生,0.8,73.4,29.8
R012,黄同学,J002,大数据开发实习生,3.3,65.3,28.1
R012,黄同学,J003,Python开发工程师,1.2,69.1,28.4
R012,黄同学,J004,机器学习实习生,0.5,72.2,29.2
R012,黄同学,J005,Java后端工程师,4.7,75.3,32.9
R012,黄同学,J006,数据工程师,0.6,61.7,25.0
R012,黄同学,J007,自然语言处理实习生,0.6,73.0,29.6
R012,黄同学,J008,前端开发工程师,0.0,71.5,28.6
R012,黄同学,J009,数据分析师,0.6,72.7,29.4
R012,黄同学,J010,大数据运维工程师,0.6,62.7,25.4
R012,黄同学,J011,AI算法实习生,0.6,72.3,29.3
R012,黄同学,J012,数据分析岗,1.7,72.7,30.1
R013,林同学,J001,数据分析实习生,0.7,76.4,31.0
R013,林同学,J002,大数据开发实习生,0.0,73.0,29.2
R013,林同学,J003,Python开发工程师,7.0,74.0,33.8
R013,林同学,J004,机器学习实习生,0.5,81.6,32.9
R013,林同学,J005,Java后端工程师,0.0,73.3,29.3
R013,林同学,J006,数据工程师,0.5,73.5,29.7
R013,林同学,J007,自然语言处理实习生,0.5,72.3,29.2
R013,林同学,J008,前端开发工程师,0.0,76.4,30.6
R013,林同学,J009,数据分析师,0.6,74.3,30.1
R013,林同学,J010,大数据运维工程师,10.1,75.6,36.3
R013,林同学,J011,AI算法实习生,0.5,80.3,32.4
R013,林同学,J012,数据分析岗,1.5,71.9,29.7
R014,杨同学,J001,数据分析实习生,1.2,76.8,31.4
R014,杨同学,J002,大数据开发实习生,6.6,78.8,35.5
R014,杨同学,J003,Python开发工程师,1.1,69.8,28.6
R014,杨同学,J004,机器学习实习生,0.0,78.0,31.2
R014,杨同学,J005,Java后端工程师,20.7,85.0,46.4
R014,杨同学,J006,数据工程师,0.9,62.0,25.3
R014,杨同学,J007,自然语言处理实习生,0.0,67.9,27.2
R014,杨同学,J008,前端开发工程师,4.5,76.5,33.3
R014,杨同学,J009,数据分析师,0.9,73.1,29.8
R014,杨同学,J010,大数据运维工程师,0.0,70.2,28.1
R014,杨同学,J011,AI算法实习生,0.0,77.1,30.8
R014,杨同学,J012,数据分析岗,2.5,72.4,30.5
R015,许同学,J001,数据分析实习生,2.6,79.3,33.3
R015,许同学,J002,大数据开发实习生,6.7,76.7,34.7
R015,许同学,J003,Python开发工程师,1.1,75.9,31.0
R015,许同学,J004,机器学习实习生,4.9,87.6,38.0
R015,许同学,J005,Java后端工程师,3.1,75.6,32.1
R015,许同学,J006,数据工程师,7.9,72.7,33.8
R015,许同学,J007,自然语言处理实习生,3.8,73.4,31.6
R015,许同学,J008,前端开发工程师,0.0,71.4,28.6
R015,许同学,J009,数据分析师,2.1,80.9,33.6
R015,许同学,J010,大数据运维工程师,3.2,78.7,33.4
R015,许同学,J011,AI算法实习生,6.9,81.7,36.8
R015,许同学,J012,数据分析岗,1.5,70.1,28.9
R016,何同学,J001,数据分析实习生,0.7,74.4,30.2
R016,何同学,J002,大数据开发实习生,0.0,71.3,28.5
R016,何同学,J003,Python开发工程师,1.1,77.8,31.8
R016,何同学,J004,机器学习实习生,0.5,79.8,32.2
R016,何同学,J005,Java后端工程师,0.0,68.0,27.2
R016,何同学,J006,数据工程师,0.6,70.0,28.4
R016,何同学,J007,自然语言处理实习生,0.6,69.8,28.3
R016,何同学,J008,前端开发工程师,0.0,64.6,25.8
R016,何同学,J009,数据分析师,0.6,73.8,29.9
R016,何同学,J010,大数据运维工程师,0.6,68.3,27.7
R016,何同学,J011,AI算法实习生,0.5,79.1,31.9
R016,何同学,J012,数据分析岗,1.6,72.1,29.8
R017,吕同学,J001,数据分析实习生,0.7,77.4,31.4
R017,吕同学,J002,大数据开发实习生,0.0,63.6,25.4
R017,吕同学,J003,Python开发工程师,1.1,72.2,29.5
R017,吕同学,J004,机器学习实习生,0.5,78.2,31.6
R017,吕同学,J005,Java后端工程师,0.0,73.4,29.4
R017,吕同学,J006,数据工程师,0.6,64.3,26.1
R017,吕同学,J007,自然语言处理实习生,13.5,75.7,38.4
R017,吕同学,J008,前端开发工程师,0.0,68.8,27.5
R017,吕同学,J009,数据分析师,5.0,78.6,34.4
R017,吕同学,J010,大数据运维工程师,0.6,64.5,26.2
R017,吕同学,J011,AI算法实习生,5.5,84.4,37.1
R017,吕同学,J012,数据分析岗,1.6,75.1,31.0
R018,施同学,J001,数据分析实习生,0.0,42.8,17.1
R018,施同学,J002,大数据开发实习生,0.0,39.6,15.8
R018,施同学,J003,Python开发工程师,0.0,27.5,11.0
R018,施同学,J004,机器学习实习生,0.0,43.8,17.5
R018,施同学,J005,Java后端工程师,0.0,29.7,11.9
R018,施同学,J006,数据工程师,0.0,38.1,15.2
R018,施同学,J007,自然语言处理实习生,0.0,29.5,11.8
R018,施同学,J008,前端开发工程师,5.6,51.7,24.0
R018,施同学,J009,数据分析师,0.0,37.5,15.0
R018,施同学,J010,大数据运维工程师,0.0,40.8,16.3
R018,施同学,J011,AI算法实习生,0.0,35.8,14.3
R018,施同学,J012,数据分析岗,0.0,29.9,12.0
R019,张同学二期,J001,数据分析实习生,9.3,69.3,33.3
R019,张同学二期,J002,大数据开发实习生,8.9,62.0,30.1
R019,张同学二期,J003,Python开发工程师,0.0,53.7,21.5
R019,张同学二期,J004,机器学习实习生,0.0,62.8,25.1
R019,张同学二期,J005,Java后端工程师,0.0,53.1,21.2
R019,张同学二期,J006,数据工程师,4.0,63.1,27.6
R019,张同学二期,J007,自然语言处理实习生,0.0,52.6,21.0
R019,张同学二期,J008,前端开发工程师,0.0,56.8,22.7
R019,张同学二期,J009,数据分析师,7.5,64.0,30.1
R019,张同学二期,J010,大数据运维工程师,7.1,74.3,34.0
R019,张同学二期,J011,AI算法实习生,0.0,60.0,24.0
R019,张同学二期,J012,数据分析岗,8.8,60.2,29.4
R020,小明,J001,数据分析实习生,4.8,79.2,34.6
R020,小明,J002,大数据开发实习生,1.2,70.6,29.0
R020,小明,J003,Python开发工程师,2.2,79.0,32.9
R020,小明,J004,机器学习实习生,29.9,89.2,53.6
R020,小明,J005,Java后端工程师,1.0,78.4,32.0
R020,小明,J006,数据工程师,1.5,72.6,29.9
R020,小明,J007,自然语言处理实习生,0.6,71.3,28.9
R020,小明,J008,前端开发工程师,0.0,77.0,30.8
R020,小明,J009,数据分析师,1.6,79.4,32.7
R020,小明,J010,大数据运维工程师,0.6,76.0,30.8
R020,小明,J011,AI算法实习生,22.1,84.5,47.1
R020,小明,J012,数据分析岗,4.2,78.3,33.8
